Video name,Video link,Video post date,Creator username,GMV,Affiliate items sold ,Affiliate shoppable video GMV,Shoppable video avg. order value,Est. commission,Est. flat fee,Affiliate orders,Shoppable video impressions,Affiliate CTR,Shoppable video GPM,Affiliate items refunded,Affiliate refunded GMV,Shoppable video comments,Shoppable video likes
trying @COLORGRAM OFFICIAL fruit glass tint & blur nude tint lippies for the first time..do they live up to the hype? 🤔🍇✨ @4am.kr  #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain #amazonprimeday #primedayfinds #primedaydeals #amazonmusthaves #amazonbeauty,https://www.tiktok.com/@dimsumwh0re/video/7521579206619270430,2025-06-29,dimsumwh0re,0,0,0,--,0,--,0,161,3.08%,0,0,0,0,5
These are amazing! @colorgram.official @4am.kr  #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain,https://www.tiktok.com/@twilightshimmerboutique/video/7521800922968624439,2025-06-30,twilightshimmerboutique,0,0,0,--,0,--,0,14,0.00%,0,0,0,0,1
@COLORGRAM OFFICIAL #liptint #gloss #colorgram #tiktokshopmadeyoushop #dealsforyoudays #tiktokshopsummerturnup ,https://www.tiktok.com/@damamasofrecovery/video/7521915292373617934,2025-06-30,damamasofrecovery,0,0,0,--,0,--,0,281,7.36%,0,0,0,0,5
Got to try out all these lip stains and gloss’ from @COLORGRAM OFFICIAL. My favorites are the matte colors and especially the last matte color! Click the link below to order yours! 💄💋 @4am.kr  #beauty #beautyhacks #beautytips #beautytok #beautyreview #makeup #makeuphacks #makeuptutorial #lipgloss #lipstick #lipstain #matte #neutralaesthetic #colorgram #makeupreview #review #fyp #foryou #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain,https://www.tiktok.com/@bianca_xb/video/7521937947529071885,2025-06-30,bianca_xb,0,0,0,--,0,--,0,223,0.85%,0,0,0,2,10
"we went to miniso, he cha lou, and wholefoods for their berry chantilly cake for fathers day!! ꒰੭⸝⸝´˘ '⸝⸝꒱੭ 📍miniso tv hwy, hillsboro, or @MINISO United States @MINISO OFFICIAL @Hechalou @Whole Foods Market @Whole Foods Market  #m#myminisousam#minisoambassadorf#fypf#foryouf#foryoupagex#xyzbcac#contentcreatort#tiktokshopt#tiktokshopcreatorv#viralv#vlogt#trendt#trendst#trendyt#trendingc#capcutm#meitua#asianv#vietv#vietnamesevn #portlandoregon#portlandoregonand #p#pdxp#pnws#shoppings#shoppinghauls#shoppingvlogb#beautyb#beautytokbeautyreview ",https://www.tiktok.com/@ham.choi/video/7522098702580796702,2025-07-01,ham.choi,0,0,0,--,0,--,0,349,1.57%,0,0,0,0,11
COLORGRAM NUDE BLUR TINT Soft ,https://www.tiktok.com/@elymd1234/video/7522168746237005111,2025-07-01,elymd1234,0,0,0,--,0,--,0,165,0.00%,0,0,0,1,4
Colorgram lippies are the only lippies to complete that SUN KISSED look for summer time babe!😘  @COLORGRAM OFFICIAL @4am.kr  #SunKissedLips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain #amazonprimeday #amazonbeauty #amazonmusthaves #dealsforyoudays #fyp #US ,https://www.tiktok.com/@hannahmarie_sahm/video/7522307427308506399,2025-07-01,hannahmarie_sahm,0,0,0,--,0,--,0,1,0.00%,0,0,0,0,0
Colorgram lippies are the only lippies to complete that SUN KISSED look for summer time babe!😘  @COLORGRAM OFFICIAL @4am.kr  #SunKissedLips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain #amazonprimeday #amazonbeauty #amazonmusthaves #dealsforyoudays #fyp #US ,https://www.tiktok.com/@hannahmarie_sahm/video/7522308484474342687,2025-07-01,hannahmarie_sahm,0,0,0,--,0,--,0,266,4.20%,0,0,0,15,15
glassy tints are my favee but the blur tints are so much more hydrating and blurring than i expected💘 Colorgram Fruity Glass Tints Colorgram Nude Blur Tint @COLORGRAM OFFICIAL @colorgram_official @4am.kr  #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain #amazonprimeday #primedayfinds #primedaydeals #amazonmusthaves #amazonbeauty ,https://www.tiktok.com/@ishasallll/video/7522343081551645966,2025-07-01,ishasallll,0,0,0,--,0,--,0,385,1.97%,0,0,0,1,6
Budget Feiendly Makeuo routine ✨️ please let me know your options for setting powders and bronzer! 😭  @TIRTIR Inc. @ONE SIZE BEAUTY @Diorbeauty @フィー fwee 日本公式 official  @SHEGLAM @COLORGRAM OFFICIAL #budgetfriendly #makeuproutine ,https://www.tiktok.com/@mariafer.greer/video/7522609613225643294,2025-07-02,mariafer.greer,0,0,0,--,0,--,0,313,0.00%,0,0,0,1,3
